PRA,Crime Count,Lat,Lon,Mean Pixel Values,Median Pixel Values,Gray_ratio
273,111,39.06738499315317,-77.12877206963964,153.33333333333334,156.0,68.7752808988764
274,74,39.077060215135134,-77.13939662216215,131.09756097560975,123.0,8.719710669077758
275,59,39.08383910474577,-77.14709671864406,156.03333333333333,149.5,inf
276,161,39.083349214658384,-77.15013416906834,169.64705882352942,175.0,inf
277,344,39.08512852026163,-77.15268427188954,176.4909090909091,174.0,inf
278,114,39.09041797096492,-77.15189541192984,146.5,147.0,94.47191011235955
279,15,39.103463588666656,-77.15600318133332,133.12121212121212,129.0,13.891525423728813
280,69,39.11209248913043,-77.16209256565215,158.15740740740742,155.0,28.966666666666665
281,322,39.10900946742236,-77.1490507326708,84.22651006711409,75.0,0.6797389994980759
282,116,39.09942029568967,-77.14895993715517,145.62983425414365,144.5,21.35708227311281
283,90,39.08908630622222,-77.14738202133334,113.94845360824742,103.0,2.110892203771461
284,23,39.085253619999996,-77.14392266,103.75471698113208,100.0,1.3600858369098712
285,18,39.08129803388889,-77.14001120388889,88.21428571428571,90.5,0.23106060606060605
286,77,39.08833844519481,-77.14011773727273,100.34693877551021,97.0,1.1063829787234043
287,139,39.09491816913668,-77.13540510956834,116.94589552238806,107.5,2.5320335831408127
288,24,39.08537891541666,-77.13362044791667,64.99375,66.5,0.0382388178913738
289,87,39.09341292632184,-77.12303671999996,69.21153846153847,62.5,0.3852963818321786
290,78,39.085113080000006,-77.11843517051281,51.14224137931034,38.0,0.35398836015063334
291,29,39.08124951862069,-77.13474050517242,90.19090909090909,86.5,0.3697362971144553
292,67,39.07983180656716,-77.12617994731343,68.89655172413794,68.0,0.02112436115843271
293,98,39.07703696622448,-77.11583393061224,84.43835616438356,81.0,0.32530638572350035
294,29,39.0771630075862,-77.11190016827585,74.39267015706807,73.0,0.6266742987979393
295,26,39.07789997038462,-77.13565460653845,97.2,93.0,0.8752411575562701
296,24,39.075316010833326,-77.13118571416668,90.8252427184466,90.0,0.4027590343379817
297,26,39.07462615,-77.12359078653847,81.76923076923077,82.0,0.22127757352941177
298,98,39.06992117897959,-77.12414800540816,91.46616541353383,88.0,0.4670767004341534
299,85,39.070724424,-77.1162481977647,81.17880794701986,80.0,0.22274314214463842
300,46,39.062873454999995,-77.11727294826088,124.26086956521739,116.0,2.7237785016286646
301,56,39.068470850892865,-77.11290294660714,112.44274809160305,108.0,2.3401360544217686
302,13,39.059938922307694,-77.11390728,169.04545454545453,168.0,inf
303,93,39.05638994139784,-77.10687530827956,114.35238095238095,111.5,3.5872015281757403
304,1,39.06729824,-77.10170381,54.119113573407205,48.0,0.08202259636685866
305,34,39.06299637705882,-77.09457195941177,88.81818181818181,93.0,0.9529347628566237
306,37,39.05133198054054,-77.10084581378376,71.31914893617021,67.0,0.2932098765432099
307,98,39.05642282489796,-77.08465474469389,83.80503144654088,79.0,0.42133333333333334
308,19,39.049056326842106,-77.09429295736841,83.98639455782313,86.0,0.26031033074724375
309,52,39.04117614961538,-77.09264288711537,78.35227272727273,81.0,0.290473516750889
310,50,39.047728372399995,-77.0857117844,78.57894736842105,81.0,0.20933529084189742
311,52,39.04223644326923,-77.0784293919231,60.02721088435374,59.0,0.06409406089840217
312,25,39.0353357248,-77.0772468952,73.42241379310344,69.0,0.27614623913694936
313,61,39.04344759262296,-77.07081162508197,75.11785714285715,74.0,0.24499822422161716
314,51,39.03491036960784,-77.07121466274509,85.03061224489795,84.0,0.15128488532743853
315,58,39.03033087327585,-77.07474754172412,103.48387096774194,87.0,1.7109859154929576
316,34,39.033578075,-77.06640397588237,88.55813953488372,85.0,0.6551724137931034
317,25,39.03575402800001,-77.065334888,83.0909090909091,67.5,0.7392959086584205
318,82,39.03914042853659,-77.06925804256097,85.8840579710145,85.5,0.3093239063190455
319,47,39.03926122723404,-77.05782840297871,89.84146341463415,87.0,0.8051948051948052
320,15,39.03431754866667,-77.05960905933333,92.8974358974359,84.0,0.7041392285983067
321,902,39.03738473495565,-77.05191089894679,188.8,191.0,66.21981424148606
322,39,39.031887301282055,-77.05873406076925,81.41666666666667,71.0,0.432376298106292
323,49,39.03199425367347,-77.04961900653062,120.02352941176471,106.0,2.38936877076412
324,590,39.03941179259322,-77.05187471123729,181.58333333333334,185.5,inf
325,168,39.04168696982143,-77.05467159083334,83.64925373134328,76.0,0.388283378746594
326,71,39.04632440549296,-77.05373231901409,81.28455284552845,80.0,0.11672065229532
327,25,39.050044832000005,-77.05537578280001,83.16949152542372,81.0,0.06720313179643324
328,95,39.04951990210527,-77.0647328728421,90.33920704845815,89.0,0.7250168236877523
329,59,39.053604804067795,-77.05183858661017,96.53465346534654,97.0,1.0547945205479452
330,46,39.05599794086957,-77.05741074304348,90.53939393939395,92.0,0.5412153100175384
331,127,39.05377774527559,-77.07053479543308,103.82380952380953,102.0,1.7542950985346135
332,71,39.05375725605634,-77.07638813084507,107.45263157894736,105.0,2.1074581430745813
333,85,39.06270095235295,-77.07549236317647,89.45714285714286,93.0,0.7417022065640645
334,94,39.060980572127654,-77.0688047455319,121.66850828729282,114.0,6.409825033647375
335,121,39.06068321719008,-77.05570064950415,106.4298245614035,101.0,1.5927983758948605
336,174,39.06854763022989,-77.0684726463793,88.89885057471264,90.0,0.5900250812055425
337,140,39.07733644857143,-77.07823465792858,113.53488372093024,104.0,2.2320423700761336
338,141,39.07295177843972,-77.08396796553191,95.52197802197803,96.0,1.0271688432835822
339,91,39.0671907010989,-77.09601535626375,92.32876712328768,93.0,0.3353806528307494
340,74,39.07700874,-77.10157685662162,63.12587412587413,60.0,0.12338995706552175
